"original_name","processed_name"
"〔東洋〕よく苡仁湯エキス細粒","〔東洋〕よく苡仁湯えきす細粒"
"〔東洋〕七物降下湯エキス細粒","〔東洋〕七物降下湯えきす細粒"
"〔東洋〕二陳湯エキス細粒","〔東洋〕二陳湯えきす細粒"
"〔東洋〕五淋散エキス細粒","〔東洋〕五淋散えきす細粒"
"〔東洋〕五苓散料エキス細粒","〔東洋〕五苓散料えきす細粒"
"〔東洋〕人参湯エキス細粒","〔東洋〕人参湯えきす細粒"
"〔東洋〕六君子湯エキス細粒","〔東洋〕六君子湯えきす細粒"
"〔東洋〕六味地黄丸料エキス細粒","〔東洋〕六味地黄丸料えきす細粒"
"〔東洋〕加味帰脾湯エキス細粒","〔東洋〕加味帰脾湯えきす細粒"
"〔東洋〕加味逍遙散エキス細粒","〔東洋〕加味逍遙散えきす細粒"
"〔東洋〕十全大補湯エキス細粒","〔東洋〕十全大補湯えきす細粒"
"〔東洋〕十味敗毒湯エキス細粒","〔東洋〕十味敗毒湯えきす細粒"
"〔東洋〕半夏厚朴湯エキス細粒","〔東洋〕半夏厚朴湯えきす細粒"
"〔東洋〕半夏瀉心湯エキス細粒","〔東洋〕半夏瀉心湯えきす細粒"
"〔東洋〕啓脾湯エキス細粒","〔東洋〕啓脾湯えきす細粒"
"〔東洋〕四君子湯エキス細粒","〔東洋〕四君子湯えきす細粒"
"〔東洋〕大柴胡湯エキス細粒","〔東洋〕大柴胡湯えきす細粒"
"〔東洋〕安中散料エキス細粒","〔東洋〕安中散料えきす細粒"
"〔東洋〕小柴胡湯エキス細粒","〔東洋〕小柴胡湯えきす細粒"
"〔東洋〕当帰芍薬散料エキス細粒","〔東洋〕当帰芍薬散料えきす細粒"
"〔東洋〕桂枝加厚朴杏仁湯エキス細粒","〔東洋〕桂枝加厚朴杏仁湯えきす細粒"
"〔東洋〕桂枝加芍薬湯エキス細粒","〔東洋〕桂枝加芍薬湯えきす細粒"
"〔東洋〕桂枝加葛根湯エキス細粒","〔東洋〕桂枝加葛根湯えきす細粒"
"〔東洋〕桂枝加黄耆湯エキス細粒","〔東洋〕桂枝加黄耆湯えきす細粒"
"〔東洋〕桂枝茯苓丸料エキス細粒","〔東洋〕桂枝茯苓丸料えきす細粒"
"〔東洋〕桂麻各半湯エキス細粒","〔東洋〕桂麻各半湯えきす細粒"
"〔東洋〕清心連子飲エキス細粒","〔東洋〕清心連子飲えきす細粒"
"〔東洋〕温清飲エキス細粒","〔東洋〕温清飲えきす細粒"
"〔東洋〕猪苓湯エキス細粒","〔東洋〕猪苓湯えきす細粒"
"〔東洋〕神秘湯エキス細粒","〔東洋〕神秘湯えきす細粒"
"〔東洋〕芍薬甘草湯エキス細粒","〔東洋〕芍薬甘草湯えきす細粒"
"〔東洋〕苓桂朮甘湯エキス細粒","〔東洋〕苓桂朮甘湯えきす細粒"
"〔東洋〕葛根湯エキス細粒","〔東洋〕葛根湯えきす細粒"
"〔東洋〕葛根湯加川きゅう辛夷エキス細粒","〔東洋〕葛根湯加川きゅう辛夷えきす細粒"
"〔東洋〕補中益気湯エキス細粒","〔東洋〕補中益気湯えきす細粒"
"〔東洋〕防風通聖散料エキス細粒","〔東洋〕防風通聖散料えきす細粒"
"〔東洋〕黄耆建中湯エキス細粒","〔東洋〕黄耆建中湯えきす細粒"
"〔東洋〕黄連湯エキス細粒","〔東洋〕黄連湯えきす細粒"
